site,transect,genus_species,abundance,biomass
Butterfly,C,Coelopa vanduzeei,159,0.18
Butterfly,C,Emphyastes fucicola,235,1.8
Butterfly,C,Megalorchestia benedicti,381,3.1
Butterfly,C,Megalorchestia corniculata,1909,16.95
Carp State,A,Bledius fenyesi,471,0.64
Carp State,A,Megalorchestia benedicti,1502,15.79
Carp State,A,Megalorchestia minor,623,11.71
Carp State,A,Tylos punctatus,381,2.52
Carp State,B,Bledius fenyesi,133,0.51
Carp State,B,Cafius canescens,133,1.84
Carp State,B,Cercyon fimbriatus,401,1.12
Carp State,B,Fucellia rufitibia,133,0.96
Carp State,B,Megalorchestia benedicti,7486,45.96
Carp State,B,Megalorchestia minor,534,3.7
Carp State,C,Bledius fenyesi,2266,3.76
Carp State,C,Fucellia rufitibia,127,0.88
Carp State,C,Megalorchestia benedicti,2724,19.29
Carp State,C,Megalorchestia minor,891,8.27
Dos Pueblos,A,Bledius fenyesi,3501,5.52
Dos Pueblos,A,Emphyastes fucicola,63,0.78
Dos Pueblos,A,Megalorchestia benedicti,2597,16.21
Dos Pueblos,A,Megalorchestia californiana,432,8.92
Dos Pueblos,A,Megalorchestia corniculata,2037,31.45
Dos Pueblos,A,Phaleria rotundata,267,3.56
Dos Pueblos,A,Thalasselephas testaceus,50,0.01
Dos Pueblos,B,Alloniscus perconvexus,20040,995.29
Dos Pueblos,B,Bledius fenyesi,1184,2.05
Dos Pueblos,B,Cafius canescens,89,1.09
Dos Pueblos,B,Megalorchestia benedicti,1336,6.48
Dos Pueblos,B,Megalorchestia californiana,1336,9.91
Dos Pueblos,B,Megalorchestia corniculata,4099,46.36
Dos Pueblos,B,Neopachylopus sulcifrons,76,1.71
Dos Pueblos,B,Phaleria rotundata,458,5.23
Dos Pueblos,C,Alloniscus perconvexus,76,0.88
Dos Pueblos,C,Bledius fenyesi,178,0.29
Dos Pueblos,C,Megalorchestia benedicti,1069,5.41
Dos Pueblos,C,Megalorchestia corniculata,7563,151.52
Dos Pueblos,C,Phaleria rotundata,76,0.94
Dos Pueblos,C,Thalasselephas testaceus,38,0.06
East Campus,A,Bledius fenyesi,3310,5.36
East Campus,A,Cafius canescens,331,4.06
East Campus,A,Cercyon fimbriatus,331,0.68
East Campus,A,Coelopa vanduzeei,165,3
East Campus,A,Fucellia rufitibia,1285,2.9
East Campus,A,Megalorchestia benedicti,12910,93.33
East Campus,A,Megalorchestia corniculata,39521,936.72
East Campus,A,Tarphiota geniculata,496,0.13
East Campus,A,Thalasselephas testaceus,165,0.86
East Campus,B,Aleochara sulcicollis,280,0.35
East Campus,B,Bledius fenyesi,2801,4.36
East Campus,B,Cafius canescens,560,13.99
East Campus,B,Cafius lithocharinus,140,1.19
East Campus,B,Cercyon fimbriatus,5742,16.22
East Campus,B,Coelopa vanduzeei,140,0.84
East Campus,B,Empididae spp.,140,0.01
East Campus,B,Fucellia rufitibia,6799,20.06
East Campus,B,Megalorchestia benedicti,18290,99.53
East Campus,B,Megalorchestia corniculata,14565,237.08
East Campus,B,Tarphiota geniculata,3221,0.59
East Campus,B,Thalasselephas testaceus,1114,1.31
East Campus,B,Traskorchestia traskiana,280,6.27
East Campus,C,Bledius fenyesi,1375,1.97
East Campus,C,Cafius seminitens,114,2.29
East Campus,C,Cercyon fimbriatus,114,0.42
East Campus,C,Fucellia rufitibia,1285,3.21
East Campus,C,Megalorchestia benedicti,3666,16.5
East Campus,C,Megalorchestia corniculata,6531,138.27
East Campus,C,Phaleria rotundata,140,2.59
East Depressions,A,Bledius fenyesi,229,0.22
East Depressions,A,Euspilotus scissus,114,0.21
East Depressions,A,Megalorchestia benedicti,6187,44.37
East Depressions,A,Megalorchestia californiana,229,1.96
East Depressions,A,Megalorchestia corniculata,3896,120.74
East Depressions,A,Phaleria rotundata,407,6.75
East Depressions,B,Bledius fenyesi,229,0.51
East Depressions,B,Coelopa vanduzeei,76,0.89
East Depressions,B,Coelus ciliatus,216,26.36
East Depressions,B,Emphyastes fucicola,432,3.94
East Depressions,B,Fucellia rufitibia,216,0.93
East Depressions,B,Megalorchestia benedicti,7639,66.34
East Depressions,B,Megalorchestia corniculata,6722,209.59
East Depressions,B,Phaleria rotundata,1158,35.41
East Depressions,B,Thinopinus pictus,76,8.66
East Depressions,C,Bledius fenyesi,101,0.16
East Depressions,C,Coelopa vanduzeei,101,1.36
East Depressions,C,Emphyastes fucicola,101,0.34
East Depressions,C,Megalorchestia benedicti,4074,51.63
East Depressions,C,Megalorchestia californiana,203,8.39
East Depressions,C,Megalorchestia corniculata,11408,372.23
East Depressions,C,Phaleria rotundata,420,6.98
East Goleta,A,Akephorus marinus,229,1.98
East Goleta,A,Alloniscus perconvexus,9052,88.22
East Goleta,A,Megalorchestia californiana,229,34.51
East Goleta,A,Megalorchestia minor,916,16.74
East Goleta,A,Neopachylopus sulcifrons,343,10.1
East Goleta,A,Thinopinus pictus,114,2.35
East Goleta,B,Alloniscus perconvexus,5322,175.67
East Goleta,B,Megalorchestia californiana,420,23.88
East Goleta,B,Megalorchestia minor,560,12.17
East Goleta,B,Phaleria rotundata,140,1.72
East Goleta,C,Alloniscus perconvexus,2648,41.02
East Goleta,C,Megalorchestia californiana,1133,95.1
East Goleta,C,Megalorchestia minor,1426,26.53
East Goleta,C,Thinopinus pictus,280,1.74
Hammonds,A,Megalorchestia corniculata,305,1.59
Hammonds,B,Emphyastes fucicola,63,0.35
Hammonds,B,Megalorchestia corniculata,63,0.05
Hammonds,B,Phaleria rotundata,152,1.59
Hammonds,C,Alloniscus perconvexus,757,2.66
Hammonds,C,Bledius fenyesi,108,0.12
Hammonds,C,Emphyastes fucicola,203,2.94
Hammonds,C,Megalorchestia benedicti,649,3.42
Hammonds,C,Megalorchestia corniculata,649,3.92
Hammonds,C,Megalorchestia minor,216,2.1
Haskell's,A,Bledius fenyesi,70,0.12
Haskell's,A,Megalorchestia benedicti,1572,9.38
Haskell's,A,Megalorchestia corniculata,6684,184.61
Haskell's,B,Emphyastes fucicola,63,0.25
Haskell's,B,Megalorchestia benedicti,2261,17.94
Haskell's,B,Megalorchestia corniculata,6552,178.69
Haskell's,B,Neopachylopus sulcifrons,168,2.92
Haskell's,C,Bledius fenyesi,725,1.2
Haskell's,C,Megalorchestia benedicti,9574,67.31
Haskell's,C,Megalorchestia corniculata,13865,347.91
Haskell's,C,Phaleria rotundata,70,0.74
Hope Ranch,A,Alloniscus perconvexus,127,0.56
Hope Ranch,A,Bledius fenyesi,241,0.36
Hope Ranch,A,Megalorchestia benedicti,1782,12.56
Hope Ranch,A,Megalorchestia corniculata,5220,147.13
Hope Ranch,A,Neopachylopus sulcifrons,127,3.12
Hope Ranch,A,Phaleria rotundata,241,2.3
Hope Ranch,B,Megalorchestia benedicti,229,1.17
Hope Ranch,B,Megalorchestia californiana,229,2.61
Hope Ranch,B,Megalorchestia corniculata,5500,153.29
Hope Ranch,B,Neopachylopus sulcifrons,114,2.06
Hope Ranch,B,Phaleria rotundata,241,4.35
Hope Ranch,C,Alloniscus perconvexus,229,0.46
Hope Ranch,C,Megalorchestia benedicti,2928,14.73
Hope Ranch,C,Megalorchestia californiana,267,27.57
Hope Ranch,C,Megalorchestia corniculata,8276,292.93
Hope Ranch,C,Phaleria rotundata,1604,20.05
Isla Vista,A,Bledius fenyesi,1909,2.37
Isla Vista,A,Cafius canescens,190,5.5
Isla Vista,A,Cercyon fimbriatus,190,0.38
Isla Vista,A,Coelopa vanduzeei,381,3.67
Isla Vista,A,Fucellia rufitibia,190,0.48
Isla Vista,A,Hypocaccus gaudens,1145,22
Isla Vista,A,Megalorchestia benedicti,11172,87.55
Isla Vista,A,Megalorchestia corniculata,14514,920.74
Isla Vista,A,Phaleria rotundata,286,4.71
Isla Vista,B,Aleochara sulcicollis,190,0.32
Isla Vista,B,Arachnid spp.,120,0.33
Isla Vista,B,Bledius fenyesi,2482,3.88
Isla Vista,B,Cafius canescens,381,7.72
Isla Vista,B,Cafius seminitens,190,7.81
Isla Vista,B,Cercyon fimbriatus,381,0.71
Isla Vista,B,Coelopa vanduzeei,2482,20.26
Isla Vista,B,Fucellia rufitibia,190,0.17
Isla Vista,B,Hadrotes crassus,572,35.33
Isla Vista,B,Hypocaccus gaudens,693,3.5
Isla Vista,B,Megalorchestia benedicti,38961,198.93
Isla Vista,B,Megalorchestia corniculata,33995,1842.04
Isla Vista,B,Phaleria rotundata,120,0.6
Isla Vista,B,Tarphiota geniculata,190,0.02
Isla Vista,C,Amblyderis parviceps,458,0.21
Isla Vista,C,Bledius fenyesi,534,0.91
Isla Vista,C,Coelopa vanduzeei,356,1.68
Isla Vista,C,Hypocaccus gaudens,420,1.39
Isla Vista,C,Megalorchestia benedicti,20677,94.92
Isla Vista,C,Megalorchestia corniculata,27450,896.2
Isla Vista,C,Phaleria rotundata,318,5.31
La Conchita,A,Akephorus marinus,388,2.06
La Conchita,A,Alloniscus perconvexus,732,2.97
La Conchita,A,Megalorchestia minor,3985,55.98
La Conchita,A,Phaleria rotundata,388,7.61
La Conchita,A,Tylos punctatus,15476,219.62
La Conchita,B,Alloniscus perconvexus,1909,22.54
La Conchita,B,Megalorchestia benedicti,101,0.96
La Conchita,B,Megalorchestia minor,1725,30.52
La Conchita,B,Phaleria rotundata,407,5.87
La Conchita,B,Thinopinus pictus,101,1.47
La Conchita,B,Tylos punctatus,36936,448.95
La Conchita,C,Alloniscus perconvexus,356,1.07
La Conchita,C,Bledius fenyesi,356,0.36
La Conchita,C,Megalorchestia benedicti,140,0.38
La Conchita,C,Megalorchestia minor,2380,40.97
La Conchita,C,Tylos punctatus,19887,362.68
Oil Piers,A,Alloniscus perconvexus,4214,74.44
Oil Piers,A,Amblyderis parviceps,483,0.58
Oil Piers,A,Bledius fenyesi,190,0.29
Oil Piers,A,Emphyastes fucicola,1451,14.08
Oil Piers,A,Hister spp.,190,1.22
Oil Piers,A,Megalorchestia benedicti,190,2.12
Oil Piers,A,Megalorchestia californiana,572,55.94
Oil Piers,A,Megalorchestia corniculata,572,48.34
Oil Piers,A,Megalorchestia minor,2482,41.14
Oil Piers,A,Tylos punctatus,483,25.69
Oil Piers,B,Alloniscus perconvexus,10924,383.68
Oil Piers,B,Bledius fenyesi,190,0.29
Oil Piers,B,Megalorchestia californiana,190,61.38
Oil Piers,B,Megalorchestia corniculata,190,22.29
Oil Piers,B,Megalorchestia minor,3246,41.16
Oil Piers,B,Tylos punctatus,190,1.15
Oil Piers,C,Alloniscus perconvexus,19837,516.64
Oil Piers,C,Bledius fenyesi,1617,2.65
Oil Piers,C,Coelus globosus,407,12.47
Oil Piers,C,Megalorchestia benedicti,789,5.19
Oil Piers,C,Megalorchestia californiana,394,11.26
Oil Piers,C,Megalorchestia corniculata,394,19.97
Oil Piers,C,Megalorchestia minor,2960,41.89
Oil Piers,C,Tylos punctatus,3234,47.85
R Beach,A,Bledius fenyesi,693,1.17
R Beach,A,Cafius canescens,57,0.89
R Beach,A,Cafius seminitens,57,1.83
R Beach,A,Emphyastes fucicola,318,2.36
R Beach,A,Megalorchestia benedicti,751,9.1
R Beach,A,Megalorchestia californiana,744,15.07
R Beach,A,Megalorchestia minor,7620,79.49
R Beach,B,Bledius fenyesi,993,2.17
R Beach,B,Cafius canescens,101,2.46
R Beach,B,Cercyon fimbriatus,2240,6.01
R Beach,B,Emphyastes fucicola,241,2.01
R Beach,B,Epantius obscurus,101,1.41
R Beach,B,Fucellia rufitibia,241,0.36
R Beach,B,Megalorchestia benedicti,2852,22.97
R Beach,B,Megalorchestia californiana,509,10.18
R Beach,B,Megalorchestia minor,7715,68.26
R Beach,B,Phaleria rotundata,725,8.98
R Beach,B,Thinopinus pictus,101,14.9
R Beach,C,Bledius fenyesi,286,0.43
R Beach,C,Emphyastes fucicola,89,0.54
R Beach,C,Megalorchestia benedicti,6060,32.11
R Beach,C,Megalorchestia californiana,4411,86.12
R Beach,C,Megalorchestia minor,10395,71.93
R Beach,C,Phaleria rotundata,3526,34.64
Rincon,A,Alloniscus perconvexus,904,88.15
Rincon,A,Arachnid spp.,420,0.84
Rincon,A,Emphyastes fucicola,420,5.08
Rincon,A,Megalorchestia benedicti,604,2.19
Rincon,A,Megalorchestia californiana,3265,86.37
Rincon,A,Megalorchestia corniculata,1209,34.6
Rincon,A,Megalorchestia minor,241,3.73
Rincon,A,Tylos punctatus,7403,171.87
Rincon,B,Alloniscus perconvexus,1476,121.85
Rincon,B,Megalorchestia benedicti,1578,8.97
Rincon,B,Megalorchestia californiana,1018,67.44
Rincon,B,Megalorchestia corniculata,3412,24.62
Rincon,B,Tylos punctatus,14311,147.89
Rincon,C,Alloniscus perconvexus,3819,24.8
Rincon,C,Hypocaccus gaudens,114,0.42
Rincon,C,Megalorchestia benedicti,2330,16.4
Rincon,C,Megalorchestia californiana,2482,33.12
Rincon,C,Megalorchestia corniculata,9854,350.22
Rincon,C,Megalorchestia minor,229,1.72
Rincon,C,Thinopinus pictus,381,5.42
Rincon,C,Tylos punctatus,56111,399.24
San Onofre,A,Akephorus marinus,63,0.55
San Onofre,A,Alloniscus perconvexus,4914,239.82
San Onofre,A,Megalorchestia benedicti,547,3.43
San Onofre,A,Megalorchestia corniculata,5016,302.71
San Onofre,B,Alloniscus perconvexus,9568,329.13
San Onofre,B,Fucellia rufitibia,70,0.48
San Onofre,B,Megalorchestia benedicti,452,5.2
San Onofre,B,Megalorchestia corniculata,7862,234.37
San Onofre,C,Alloniscus perconvexus,2858,86.83
San Onofre,C,Megalorchestia benedicti,63,0.27
San Onofre,C,Megalorchestia corniculata,1846,120.93
Sands,A,Bledius fenyesi,5895,9.52
Sands,A,Coelopa vanduzeei,152,3.06
Sands,A,Epantius obscurus,152,4.86
Sands,A,Fucellia rufitibia,305,1.18
Sands,A,Megalorchestia benedicti,4539,24.84
Sands,A,Megalorchestia californiana,458,4.1
Sands,A,Megalorchestia minor,6417,53.74
Sands,A,Phaleria rotundata,1884,30.79
Sands,B,Aleochara sulcicollis,114,0.18
Sands,B,Bledius fenyesi,3552,6
Sands,B,Cafius canescens,954,11.13
Sands,B,Fucellia rufitibia,13292,54.5
Sands,B,Megalorchestia benedicti,4392,22.02
Sands,B,Megalorchestia californiana,458,3.33
Sands,B,Megalorchestia minor,4927,29.09
Sands,B,Tarphiota geniculata,114,0.01
Sands,B,Thinopinus pictus,114,11.38
Sands,C,Bledius fenyesi,9803,15.72
Sands,C,Cafius canescens,203,1.4
Sands,C,Cercyon fimbriatus,305,0.89
Sands,C,Fucellia rufitibia,101,0.4
Sands,C,Megalorchestia benedicti,4125,19.53
Sands,C,Megalorchestia californiana,700,53.94
Sands,C,Megalorchestia minor,6200,68.27
Sands,C,Phaleria rotundata,700,12.04
Santa Claus LaneLane,A,Megalorchestia benedicti,356,2.94
Santa Claus LaneLane,A,Megalorchestia californiana,101,1.53
Santa Claus LaneLane,A,Megalorchestia minor,1324,11.46
Santa Claus LaneLane,B,Megalorchestia benedicti,1470,8.92
Santa Claus LaneLane,B,Megalorchestia minor,4647,57.38
Santa Claus LaneLane,C,Bledius fenyesi,407,0.86
Santa Claus LaneLane,C,Fucellia rufitibia,89,0.09
Santa Claus LaneLane,C,Megalorchestia benedicti,1082,20.26
Santa Claus LaneLane,C,Megalorchestia minor,2852,23.05
Solimar,A,Aleochara sulcicollis,1298,1.97
Solimar,A,Bledius fenyesi,318,0.26
Solimar,A,Emphyastes fucicola,101,1.25
Solimar,A,Garypus californicus,432,0.93
Solimar,A,Megalorchestia benedicti,305,2.04
Solimar,A,Megalorchestia corniculata,15711,616.32
Solimar,B,Bledius fenyesi,1260,1.99
Solimar,B,Emphyastes fucicola,305,2.48
Solimar,B,Megalorchestia corniculata,7792,797.56
Solimar,C,Bledius fenyesi,305,0.41
Solimar,C,Emphyastes fucicola,687,7.8
Solimar,C,Megalorchestia corniculata,2902,165.62
Tajiguas,A,Akephorus marinus,190,0.97
Tajiguas,A,Aleochara sulcicollis,63,0.11
Tajiguas,A,Bledius fenyesi,63,0.08
Tajiguas,A,Cafius canescens,127,1.48
Tajiguas,A,Cafius luteipennis,63,0.15
Tajiguas,A,Cercyon fimbriatus,445,1.06
Tajiguas,A,Emphyastes fucicola,381,4.18
Tajiguas,A,Megalorchestia benedicti,6047,37.53
Tajiguas,A,Megalorchestia corniculata,10376,289
Tajiguas,A,Omalium algarum,63,0.08
Tajiguas,A,Pontomalota opaca,254,0.2
Tajiguas,B,Alloniscus perconvexus,89,2.3
Tajiguas,B,Bledius fenyesi,891,1.34
Tajiguas,B,Megalorchestia benedicti,2266,9.06
Tajiguas,B,Megalorchestia corniculata,6544,82.8
Tajiguas,C,Bledius fenyesi,63,0.09
Tajiguas,C,Megalorchestia benedicti,1604,9.45
Tajiguas,C,Megalorchestia corniculata,8721,309.59
Tajiguas,C,Phaleria rotundata,241,2.88
Wallace,A,Alloniscus perconvexus,802,3.05
Wallace,A,Fucellia rufitibia,178,0.66
Wallace,A,Megalorchestia benedicti,4278,45.94
Wallace,A,Megalorchestia californiana,356,12.35
Wallace,A,Megalorchestia corniculata,11408,563.75
Wallace,B,Alloniscus perconvexus,522,1.87
Wallace,B,Fucellia rufitibia,114,0.47
Wallace,B,Megalorchestia benedicti,5309,29.41
Wallace,B,Megalorchestia corniculata,13521,769.07
Wallace,C,Alloniscus perconvexus,127,0.24
Wallace,C,Megalorchestia corniculata,1330,105.63
Wallace,C,Phaleria rotundata,127,1.27
